id,sale_date,day_of_week,product_id,product_name,category,units_sold,is_weekend
1,2024-01-01,Monday,1,Fresh Grapes,Produce,27,False
2,2024-01-01,Monday,2,Fresh Milk,Beverages,29,False
3,2024-01-01,Monday,3,Organic Rice,Bakery,8,False
4,2024-01-01,Monday,4,Classic Juice,Bakery,11,False
5,2024-01-01,Monday,5,Fresh Milk,Produce,29,False
6,2024-01-01,Monday,6,Classic Rice,Bakery,44,False
7,2024-01-01,Monday,7,Fresh Beans,Dairy,13,False
8,2024-01-01,Monday,8,Premium Lettuce,Beverages,19,False
9,2024-01-01,Monday,9,Organic Turkey,Dairy,37,False
10,2024-01-01,Monday,10,Fresh Yogurt,Meat,5,False
11,2024-01-01,Monday,11,Classic Spinach,Meat,13,False
12,2024-01-01,Monday,12,Premium Pasta,Frozen,9,False
13,2024-01-01,Monday,13,Organic Ice Cream,Meat,5,False
14,2024-01-01,Monday,14,Organic Salmon,Dairy,31,False
15,2024-01-01,Monday,15,Classic Bagel,Beverages,7,False
16,2024-01-01,Monday,16,Fresh Rice,Frozen,15,False
17,2024-01-01,Monday,17,Fresh Bagel,Dairy,28,False
18,2024-01-01,Monday,18,Classic Tomato,Beverages,7,False
19,2024-01-01,Monday,19,Premium Carrots,Beverages,41,False
20,2024-01-01,Monday,20,Premium Turkey,Produce,13,False
21,2024-01-01,Monday,21,Premium Cheese,Produce,14,False
22,2024-01-01,Monday,22,Classic Cheddar,Meat,12,False
23,2024-01-01,Monday,23,Fresh Mango,Dairy,6,False
24,2024-01-01,Monday,24,Fresh Spinach,Produce,28,False
25,2024-01-01,Monday,25,Premium Cheese,Frozen,13,False
26,2024-01-01,Monday,26,Classic Onions,Beverages,31,False
27,2024-01-01,Monday,27,Classic Yogurt,Dairy,40,False
28,2024-01-01,Monday,28,Organic Bread,Bakery,34,False
29,2024-01-01,Monday,29,Premium Beef,Bakery,17,False
30,2024-01-01,Monday,30,Classic Carrots,Dairy,23,False
31,2024-01-01,Monday,31,Premium Beef,Frozen,30,False
32,2024-01-01,Monday,32,Premium Beans,Bakery,33,False
33,2024-01-01,Monday,33,Premium Rice,Bakery,7,False
34,2024-01-01,Monday,34,Classic Eggs,Frozen,18,False
35,2024-01-01,Monday,35,Premium Mango,Frozen,8,False
36,2024-01-01,Monday,36,Organic Chicken,Dairy,6,False
37,2024-01-01,Monday,37,Premium Butter,Dairy,15,False
38,2024-01-01,Monday,38,Fresh Pasta,Produce,22,False
39,2024-01-01,Monday,39,Organic Spinach,Bakery,16,False
40,2024-01-01,Monday,40,Classic Peppers,Beverages,5,False
41,2024-01-01,Monday,41,Premium Salmon,Meat,28,False
42,2024-01-01,Monday,42,Organic Cereal,Meat,29,False
43,2024-01-01,Monday,43,Premium Turkey,Produce,26,False
44,2024-01-01,Monday,44,Classic Beans,Frozen,16,False
45,2024-01-01,Monday,45,Premium Pasta,Produce,30,False
46,2024-01-01,Monday,46,Classic Fish,Dairy,27,False
47,2024-01-01,Monday,47,Organic Cream,Dairy,31,False
48,2024-01-01,Monday,48,Organic Bread,Dairy,25,False
49,2024-01-01,Monday,49,Classic Mango,Produce,16,False
50,2024-01-01,Monday,50,Fresh Turkey,Bakery,8,False
51,2024-01-01,Monday,51,Fresh Chicken,Beverages,39,False
52,2024-01-01,Monday,52,Fresh Eggs,Produce,32,False
53,2024-01-01,Monday,53,Premium Spinach,Meat,35,False
54,2024-01-01,Monday,54,Fresh Ice Cream,Bakery,5,False
55,2024-01-01,Monday,55,Classic Pasta,Dairy,14,False
56,2024-01-01,Monday,56,Organic Chicken,Frozen,24,False
57,2024-01-01,Monday,57,Organic Chicken,Produce,12,False
58,2024-01-01,Monday,58,Classic Orange,Beverages,38,False
59,2024-01-01,Monday,59,Organic Spinach,Bakery,14,False
60,2024-01-01,Monday,60,Organic Beef,Bakery,44,False
61,2024-01-01,Monday,61,Classic Fish,Dairy,21,False
62,2024-01-01,Monday,62,Classic Yogurt,Meat,22,False
63,2024-01-01,Monday,63,Classic Peppers,Beverages,22,False
64,2024-01-01,Monday,64,Classic Orange,Meat,8,False
65,2024-01-01,Monday,65,Fresh Orange,Meat,6,False
66,2024-01-01,Monday,66,Organic Beef,Beverages,14,False
67,2024-01-01,Monday,67,Organic Turkey,Produce,42,False
68,2024-01-01,Monday,68,Fresh Onions,Produce,18,False
69,2024-01-01,Monday,69,Fresh Butter,Bakery,25,False
70,2024-01-01,Monday,70,Fresh Orange,Beverages,11,False
71,2024-01-01,Monday,71,Organic Milk,Beverages,5,False
72,2024-01-01,Monday,72,Organic Beef,Frozen,33,False
73,2024-01-01,Monday,73,Premium Cheese,Produce,9,False
74,2024-01-01,Monday,74,Classic Bagel,Bakery,35,False
75,2024-01-01,Monday,75,Premium Beef,Meat,24,False
76,2024-01-01,Monday,76,Fresh Rice,Frozen,48,False
77,2024-01-01,Monday,77,Premium Chicken,Frozen,38,False
78,2024-01-01,Monday,78,Organic Rice,Dairy,24,False
79,2024-01-01,Monday,79,Fresh Ice Cream,Meat,19,False
80,2024-01-01,Monday,80,Classic Rice,Beverages,23,False
81,2024-01-01,Monday,81,Organic Cheese,Beverages,17,False
82,2024-01-01,Monday,82,Fresh Grapes,Dairy,26,False
83,2024-01-01,Monday,83,Organic Lettuce,Produce,15,False
84,2024-01-01,Monday,84,Fresh Pasta,Meat,11,False
85,2024-01-01,Monday,85,Organic Peppers,Frozen,22,False
86,2024-01-01,Monday,86,Premium Chicken,Dairy,9,False
87,2024-01-01,Monday,87,Premium Bread,Frozen,25,False
88,2024-01-01,Monday,88,Organic Rice,Frozen,12,False
89,2024-01-01,Monday,89,Premium Butter,Bakery,26,False
90,2024-01-01,Monday,90,Fresh Rice,Beverages,40,False
91,2024-01-02,Tuesday,1,Fresh Grapes,Produce,26,False
92,2024-01-02,Tuesday,2,Fresh Milk,Beverages,25,False
93,2024-01-02,Tuesday,3,Organic Rice,Bakery,6,False
94,2024-01-02,Tuesday,4,Classic Juice,Bakery,17,False
95,2024-01-02,Tuesday,5,Fresh Milk,Produce,25,False
96,2024-01-02,Tuesday,6,Classic Rice,Bakery,40,False
97,2024-01-02,Tuesday,7,Fresh Beans,Dairy,10,False
98,2024-01-02,Tuesday,8,Premium Lettuce,Beverages,17,False
99,2024-01-02,Tuesday,9,Organic Turkey,Dairy,38,False
100,2024-01-02,Tuesday,10,Fresh Yogurt,Meat,8,False
101,2024-01-02,Tuesday,11,Classic Spinach,Meat,14,False
102,2024-01-02,Tuesday,12,Premium Pasta,Frozen,9,False
103,2024-01-02,Tuesday,13,Organic Ice Cream,Meat,8,False
104,2024-01-02,Tuesday,14,Organic Salmon,Dairy,22,False
105,2024-01-02,Tuesday,15,Classic Bagel,Beverages,9,False
106,2024-01-02,Tuesday,16,Fresh Rice,Frozen,14,False
107,2024-01-02,Tuesday,17,Fresh Bagel,Dairy,26,False
108,2024-01-02,Tuesday,18,Classic Tomato,Beverages,7,False
109,2024-01-02,Tuesday,19,Premium Carrots,Beverages,27,False
110,2024-01-02,Tuesday,20,Premium Turkey,Produce,12,False
111,2024-01-02,Tuesday,21,Premium Cheese,Produce,14,False
112,2024-01-02,Tuesday,22,Classic Cheddar,Meat,12,False
113,2024-01-02,Tuesday,23,Fresh Mango,Dairy,5,False
114,2024-01-02,Tuesday,24,Fresh Spinach,Produce,32,False
115,2024-01-02,Tuesday,25,Premium Cheese,Frozen,13,False
116,2024-01-02,Tuesday,26,Classic Onions,Beverages,43,False
117,2024-01-02,Tuesday,27,Classic Yogurt,Dairy,38,False
118,2024-01-02,Tuesday,28,Organic Bread,Bakery,38,False
119,2024-01-02,Tuesday,29,Premium Beef,Bakery,25,False
120,2024-01-02,Tuesday,30,Classic Carrots,Dairy,22,False
121,2024-01-02,Tuesday,31,Premium Beef,Frozen,31,False
122,2024-01-02,Tuesday,32,Premium Beans,Bakery,37,False
123,2024-01-02,Tuesday,33,Premium Rice,Bakery,6,False
124,2024-01-02,Tuesday,34,Classic Eggs,Frozen,25,False
125,2024-01-02,Tuesday,35,Premium Mango,Frozen,9,False
126,2024-01-02,Tuesday,36,Organic Chicken,Dairy,10,False
127,2024-01-02,Tuesday,37,Premium Butter,Dairy,13,False
128,2024-01-02,Tuesday,38,Fresh Pasta,Produce,23,False
129,2024-01-02,Tuesday,39,Organic Spinach,Bakery,18,False
130,2024-01-02,Tuesday,40,Classic Peppers,Beverages,5,False
131,2024-01-02,Tuesday,41,Premium Salmon,Meat,27,False
132,2024-01-02,Tuesday,42,Organic Cereal,Meat,32,False
133,2024-01-02,Tuesday,43,Premium Turkey,Produce,28,False
134,2024-01-02,Tuesday,44,Classic Beans,Frozen,11,False
135,2024-01-02,Tuesday,45,Premium Pasta,Produce,34,False
136,2024-01-02,Tuesday,46,Classic Fish,Dairy,28,False
137,2024-01-02,Tuesday,47,Organic Cream,Dairy,30,False
138,2024-01-02,Tuesday,48,Organic Bread,Dairy,39,False
139,2024-01-02,Tuesday,49,Classic Mango,Produce,13,False
140,2024-01-02,Tuesday,50,Fresh Turkey,Bakery,8,False
141,2024-01-02,Tuesday,51,Fresh Chicken,Beverages,30,False
142,2024-01-02,Tuesday,52,Fresh Eggs,Produce,43,False
143,2024-01-02,Tuesday,53,Premium Spinach,Meat,31,False
144,2024-01-02,Tuesday,54,Fresh Ice Cream,Bakery,7,False
145,2024-01-02,Tuesday,55,Classic Pasta,Dairy,19,False
146,2024-01-02,Tuesday,56,Organic Chicken,Frozen,23,False
147,2024-01-02,Tuesday,57,Organic Chicken,Produce,12,False
148,2024-01-02,Tuesday,58,Classic Orange,Beverages,42,False
149,2024-01-02,Tuesday,59,Organic Spinach,Bakery,9,False
150,2024-01-02,Tuesday,60,Organic Beef,Bakery,26,False
151,2024-01-02,Tuesday,61,Classic Fish,Dairy,16,False
152,2024-01-02,Tuesday,62,Classic Yogurt,Meat,32,False
153,2024-01-02,Tuesday,63,Classic Peppers,Beverages,29,False
154,2024-01-02,Tuesday,64,Classic Orange,Meat,8,False
155,2024-01-02,Tuesday,65,Fresh Orange,Meat,4,False
156,2024-01-02,Tuesday,66,Organic Beef,Beverages,13,False
157,2024-01-02,Tuesday,67,Organic Turkey,Produce,28,False
